N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9223157894736842,0.955234931222301,0.9340606180213913,0.6515513126491647,0.566627144405258,0.6020200344233183
Model2,500,2,1,0.8690175438596491,0.9523923575374917,0.9008267203802557,0.6563245823389021,0.5640204044075205,0.599025674983493
Model3,500,3,1,0.7839298245614035,0.9394444328192791,0.8493676311431037,0.21897374701670644,0.17236425034781394,0.15095665552589693
Model4,500,1,2,0.9454736842105264,0.9524142402773965,0.9465001546054357,0.639618138424821,0.6074991964427076,0.6214843272797617
Model5,500,2,2,0.9252280701754386,0.954732256495845,0.9347463969401786,0.6813842482100239,0.5920329001179434,0.6296894906637015
Model6,500,3,2,0.744140350877193,0.9408709713927587,0.8238309895019155,0.2529832935560859,0.09157665122476989,0.13249628699869648
Model7,800,1,2,0.9307719298245614,0.9539218014559978,0.9380103845782319,0.6485680190930787,0.5775875510252033,0.6055421345800862
Model8,800,2,2,0.9153333333333333,0.9444984106188211,0.9250982555224438,0.6252983293556086,0.6188502285686837,0.6214245795044222
Model9,800,3,2,0.8107368421052632,0.9381591781028928,0.8664576568089865,0.1575178997613365,0.10213697728497842,0.09180985062514661
